trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-09-05,贵州茅台,600519.SH,1483.0,1474.9649999999997,1446.974,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0476123198643685,0.007021308380753322,1.0,0.0
2025-09-08,贵州茅台,600519.SH,1501.23,1476.055,1449.0596666666668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.06049025148347,0.012292650033715491,1.0,0.0
2025-09-09,贵州茅台,600519.SH,1505.0,1478.394,1451.2596666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0631534331732129,0.0025112740885806506,1.0,0.0
2025-09-10,贵州茅台,600519.SH,1522.01,1485.795,1453.6786666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0751695394179148,0.011302325581395323,1.0,0.0
2025-09-11,贵州茅台,600519.SH,1523.5,1493.535,1457.073,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0762220966374683,0.0009789686007317666,1.0,0.0
2025-09-12,贵州茅台,600519.SH,1516.0,1497.135,1460.373,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.070923989827635,-0.004922874958976031,1.0,0.0
2025-09-15,贵州茅台,600519.SH,1515.1,1501.0349999999999,1463.5763333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0702882170104548,-0.0005936675461742924,1.0,0.0
2025-09-16,贵州茅台,600519.SH,1499.98,1501.903,1465.9843333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0596072336818312,-0.009979539304336149,1.0,0.0
2025-09-17,贵州茅台,600519.SH,1493.0,1503.1480000000001,1468.2883333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0546764622774796,-0.004653395378605096,1.0,0.0
2025-09-18,贵州茅台,600519.SH,1467.96,1502.6779999999999,1469.8086666666668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0369878496750495,-0.01677160080375084,1.0,0.0
2025-09-19,贵州茅台,600519.SH,1467.97,1501.175,1471.3753333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0369949138174626,6.8121747185401205e-06,1.0,0.0
2025-09-22,贵州茅台,600519.SH,1453.35,1496.387,1471.6536666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0266671376094942,-0.009959331593969889,1.0,0.0
2025-09-23,贵州茅台,600519.SH,1447.42,1490.629,1471.9996666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0224781011585196,-0.004080228437747135,1.0,0.0
2025-09-24,贵州茅台,600519.SH,1442.0,1482.628,1472.7313333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0186493359706132,-0.0037445938290200376,1.0,0.0
2025-09-25,贵州茅台,600519.SH,1439.0,1474.1779999999999,1473.1316666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0165300932466799,-0.0020804438280167536,1.0,0.0
2025-09-26,贵州茅台,600519.SH,1435.0,1466.078,1473.5623333333335,False,True,-1,100000.0,0,0.0,100000.0,1.0,0.0,1.0137044362814356,-0.002779708130646097,1.0,0.0
2025-09-29,贵州茅台,600519.SH,1460.86,1460.654,1474.641,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0319723085617405,0.01802090592334471,1.0,0.0
2025-09-30,贵州茅台,600519.SH,1443.99,1455.0549999999998,1474.8406666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0200551003108222,-0.011547992278520769,1.0,0.0
2025-10-09,贵州茅台,600519.SH,1436.78,1449.433,1474.4,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0149618536309692,-0.004993109370563409,1.0,0.0
2025-10-10,贵州茅台,600519.SH,1430.0,1445.6370000000002,1473.7916666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.01017236507488,-0.0047188852851515195,1.0,0.0
2025-10-13,贵州茅台,600519.SH,1419.2,1440.76,1472.3,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.00254309126872,-0.007552447552447439,1.0,0.0
2025-10-14,贵州茅台,600519.SH,1451.02,1440.527,1470.9896666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0250211924272394,0.02242108229988715,1.0,0.0
2025-10-15,贵州茅台,600519.SH,1462.0,1441.9850000000001,1470.3359999999998,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0327776207968353,0.007567090736171789,1.0,0.0
2025-10-16,贵州茅台,600519.SH,1484.91,1446.276,1471.5663333333332,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0489615710652729,0.01567031463748303,1.0,0.0
2025-10-17,贵州茅台,600519.SH,1455.0,1447.876,1471.863,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0278327211076577,-0.020142634907166168,1.0,0.0
2025-10-20,贵州茅台,600519.SH,1457.93,1450.169,1471.1273333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0299025148346992,0.002013745704467329,1.0,0.0
2025-10-21,贵州茅台,600519.SH,1462.26,1450.309,1470.666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0329612884995762,0.002969964264402325,1.0,0.0
2025-10-22,贵州茅台,600519.SH,1458.7,1451.78,1469.5793333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0304464538005087,-0.002434587556248591,1.0,0.0
2025-10-23,贵州茅台,600519.SH,1467.98,1454.9,1469.1603333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0370019779598758,0.006361829025844923,1.0,0.0
2025-10-24,贵州茅台,600519.SH,1450.0,1456.9,1468.4049999999997,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.024300649901102,-0.012248123271434319,1.0,0.0
2025-10-27,贵州茅台,600519.SH,1440.41,1459.0210000000002,1466.9853333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0175261373269286,-0.006613793103448118,1.0,0.0
2025-10-28,贵州茅台,600519.SH,1445.0,1458.419,1465.111,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0207685786945466,0.0031865927062433297,1.0,0.0
2025-10-29,贵州茅台,600519.SH,1431.9,1455.409,1462.6743333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.011514552133371,-0.009065743944636773,1.0,0.0
2025-10-30,贵州茅台,600519.SH,1426.74,1449.592,1459.4986666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0078694546482059,-0.0036036036036034558,1.0,0.0
2025-10-31,贵州茅台,600519.SH,1430.01,1447.093,1456.3823333333335,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.010179429217293,0.0022919382648554087,1.0,0.0
2025-11-03,贵州茅台,600519.SH,1435.0,1444.8,1453.6823333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0137044362814356,0.0034894860875100964,1.0,0.0
2025-11-04,贵州茅台,600519.SH,1429.0,1441.474,1450.8123333333335,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0094659508335688,-0.004181184668989646,1.0,0.0
2025-11-05,贵州茅台,600519.SH,1420.08,1437.612,1448.1490000000001,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0031647358010738,-0.006242127361791416,1.0,0.0
2025-11-06,贵州茅台,600519.SH,1435.13,1434.327,1446.22,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.013796270132806,0.010597994479184303,1.0,0.0
2025-11-07,贵州茅台,600519.SH,1433.33,1432.66,1445.0656666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0125247244984459,-0.001254241776006526,1.0,0.0
2025-11-10,贵州茅台,600519.SH,1462.3,1434.849,1444.8766666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0329895450692286,0.020211674910871835,1.0,0.0
2025-11-11,贵州茅台,600519.SH,1458.99,1436.248,1445.0646666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.030651313930489,-0.0022635574095601907,1.0,0.0
2025-11-12,贵州茅台,600519.SH,1465.15,1439.5729999999999,1445.6556666666665,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0350028256569654,0.004222098849204103,1.0,0.0
2025-11-13,贵州茅台,600519.SH,1470.38,1443.9370000000001,1446.6016666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0386973721390225,0.0035696003822134337,1.0,0.0
2025-11-14,贵州茅台,600519.SH,1456.6,1446.596,1447.1883333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0289629838937553,-0.009371727036548538,1.0,0.0
2025-11-17,贵州茅台,600519.SH,1471.0,1450.1960000000001,1448.3883333333333,True,False,1,100000.0,0,0.0,100000.0,1.0,0.0,1.0391353489686352,0.00988603597418658,1.0,0.0
2025-11-18,贵州茅台,600519.SH,1476.0,1454.8960000000002,1448.893,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0426674201751909,0.003399048266485405,1.0,0.0
2025-11-19,贵州茅台,600519.SH,1471.01,1459.989,1449.793666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0391424131110483,-0.0033807588075882578,1.0,0.0
2025-11-20,贵州茅台,600519.SH,1467.11,1463.187,1450.804666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.036387397569935,-0.0026512396244757763,1.0,0.0
2025-11-21,贵州茅台,600519.SH,1466.6,1466.514,1452.024666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0360271263068663,-0.000347622196017916,1.0,0.0
2025-11-24,贵州茅台,600519.SH,1452.0,1465.484,1453.118,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0257134783837243,-0.009954997954452427,1.0,0.0
2025-11-25,贵州茅台,600519.SH,1444.65,1464.05,1452.9056666666668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0205213337100878,-0.005061983471074227,1.0,0.0
2025-11-26,贵州茅台,600519.SH,1449.15,1462.45,1452.4773333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0237001977959876,0.0031149413352713484,1.0,0.0
2025-11-27,贵州茅台,600519.SH,1447.3,1460.142,1451.2236666666665,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0223933314495621,-0.0012766104268019385,1.0,0.0
2025-11-28,贵州茅台,600519.SH,1450.5,1459.532,1451.0736666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0246538570217576,0.0022110136115525147,1.0,0.0
2025-12-01,贵州茅台,600519.SH,1448.0,1457.232,1450.7426666666665,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0228878214184798,-0.0017235436056532993,1.0,0.0
2025-12-02,贵州茅台,600519.SH,1436.03,1453.235,1449.8683333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.014432042949986,-0.008266574585635178,1.0,0.0
2025-12-03,贵州茅台,600519.SH,1429.1,1449.044,1448.8816666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0095365922577,-0.004825804474836937,1.0,0.0
2025-12-04,贵州茅台,600519.SH,1423.98,1444.731,1447.4150000000002,False,True,-1,100000.0,0,0.0,100000.0,1.0,0.0,1.0059197513421871,-0.003582674410468112,1.0,0.0
2025-12-05,贵州茅台,600519.SH,1430.01,1441.072,1446.7486666666668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.010179429217293,0.004234610036657704,1.0,0.0
2025-12-08,贵州茅台,600519.SH,1418.22,1437.694,1446.0089999999998,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0018508053122352,-0.008244697589527172,1.0,0.0
2025-12-09,贵州茅台,600519.SH,1401.01,1433.33,1444.5426666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.989693416219271,-0.012134929700610808,1.0,0.0
2025-12-10,贵州茅台,600519.SH,1402.8,1428.6950000000002,1443.5726666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9909578977112179,0.0012776496955768657,1.0,0.0
2025-12-11,贵州茅台,600519.SH,1411.99,1425.164,1443.081,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.997449844588867,0.006551183347590639,1.0,0.0
2025-12-12,贵州茅台,600519.SH,1420.65,1422.1789999999999,1442.769,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0035673919186212,0.006133187912095828,1.0,0.0
2025-12-15,贵州茅台,600519.SH,1426.0,1419.9789999999998,1442.469,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0073467081096354,0.0037658818146621975,1.0,0.0
2025-12-16,贵州茅台,600519.SH,1422.0,1418.576,1442.2356666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0045210511443912,-0.0028050490883588797,1.0,0.0
2025-12-17,贵州茅台,600519.SH,1433.1,1418.976,1442.6696666666664,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0123622492229443,0.007805907172995674,1.0,0.0
2025-12-18,贵州茅台,600519.SH,1431.0,1419.678,1442.532,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.010878779316191,-0.001465354825203935,1.0,0.0
