trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,ema_12,ema_26,dif,dea,macd_bar,bb_middle,bb_upper,bb_lower,bb_bandwidth,tr,atr_14,atr_pct,stock_name,ts_code,data_source
2026-03-11,379.58,403.55,378.98,396.8,376.3,20.5,5.45,575987,22642696276.0,62.98467087466186,362.28684839160616,359.454450353701,2.8323980379051363,-1.1057065576243053,7.876209191058884,360.55150000000003,389.29623152642574,331.8067684735743,0.15944868639529003,27.25,13.526428571428571,3.4088781682027647,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-12,400.0,400.9,392.7,395.5,396.8,-1.3,-0.33,291504,11537671606.0,59.40764880667113,367.39656402366677,362.1244910682417,5.272072955425074,0.16984934498557064,10.204447220879006,362.075,394.776690604937,329.37330939506296,0.18063489942656646,8.199999999999989,13.406428571428572,3.3897417374029257,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-13,393.88,403.99,393.8,397.0,395.5,1.5,0.38,355826,14201304444.0,66.61070304302206,371.9509387892565,364.7078621002238,7.243076689032705,1.5844948137949977,11.317163750475414,363.778,400.024686730615,327.53131326938507,0.1992791577864244,10.189999999999998,13.277857142857142,3.34454839870457,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-16,401.77,413.17,398.0,408.4,397.0,11.4,2.87,373521,15195015004.0,72.48088277998257,377.5584866678324,367.94431675946646,9.614169908365966,3.1904298327091913,12.84748015131355,365.7425,407.1039704385866,324.3810295614134,0.22617809217461243,16.170000000000016,13.607857142857142,3.331992444382258,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-17,415.78,420.0,404.56,405.0,408.4,-3.4,-0.83,359807,14787230789.0,70.10706235912849,381.7802579497044,370.68918218469116,11.091075765013215,4.770559019169997,12.641033491686438,367.5515,412.48980637663107,322.6131936233689,0.24452794439217956,15.439999999999998,14.24642857142857,3.5176366843033504,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-18,405.36,406.0,396.77,402.02,405.0,-2.98,-0.74,265300,10653633584.0,80.0278730703259,384.89406441898063,373.00998350434367,11.884080914636968,6.193263398263391,11.381635032747154,369.404,416.8773660066353,321.93063399336467,0.25702681079054546,9.230000000000018,13.571428571428571,3.3758093058625374,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-19,401.94,414.0,400.0,400.5,402.02,-1.52,-0.38,292866,11867380765.0,82.20460301728887,387.2949775852913,375.0462810225404,12.248696562750865,7.404350031160886,9.688693063179958,371.029,420.4836039153182,321.5743960846818,0.26658080050518,14.0,14.07642857142857,3.5147137506688066,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-20,405.08,422.08,400.13,413.0,400.5,12.5,3.12,537297,22252017693.0,85.8451536643026,391.2495964183234,377.8576676134634,13.391928804860015,8.601865785900712,9.580126037918607,372.8855,425.773758561652,319.99724143834794,0.28367023422284876,21.94999999999999,15.057142857142859,3.6457973019716365,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-23,417.33,417.36,398.75,401.99,413.0,-11.01,-2.67,446141,18193336487.0,76.64703717335297,392.9019662001198,379.64524779024384,13.25671840987593,9.532836310695757,7.447764198360346,374.718,429.0261339647828,320.40986603521725,0.28986135688588627,18.610000000000014,15.377142857142859,3.825255070310918,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-24,405.0,411.9,388.0,396.99,401.99,-5.0,-1.24,364105,14439124609.0,76.76711823795044,393.53089447702445,380.93004425022576,12.600850226798684,10.146439093916342,4.908822265764684,376.46999999999997,431.30209548008156,321.6379045199184,0.2912959623878747,23.899999999999977,16.379285714285714,4.125868589708989,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-25,393.0,400.5,387.8,397.81,396.99,0.82,0.21,267528,10553996246.0,74.27025923657891,394.18921840363606,382.1804113428016,12.008807060834442,10.518912687299963,2.979788747068959,378.2515,433.4427854581795,323.0602145418205,0.29182322057244714,12.699999999999989,16.218571428571426,4.0769642363368,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-26,393.84,413.72,392.0,402.5,397.81,4.69,1.18,267637,10811439764.0,74.3148242485991,395.46780018769203,383.6855660581497,11.78223412954236,10.771576975748443,2.021314307587833,381.0765,435.0883670293847,327.0646329706153,0.28346994385318797,21.720000000000027,16.88714285714286,4.195563442768412,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
